,availability_30,availability_60,availability_90,availability_365
0,30,60,90,365
1,0,0,0,0
4,23,23,35,151
6,3,33,63,308
8,15,38,38,38
9,0,18,24,24
10,4,32,62,316
11,0,27,57,332
12,0,0,0,0
13,18,48,78,163
14,14,23,52,136
15,0,0,0,99
19,3,29,59,142
21,2,32,53,273
22,2,18,18,220
23,8,38,68,157
24,0,0,0,0
25,13,26,34,309
28,8,38,68,248
29,0,0,0,187
33,5,16,42,42
34,2,2,2,27
35,0,16,41,131
36,30,60,90,365
38,14,44,74,349
39,17,29,29,216
40,4,34,64,154
41,11,39,39,39
42,5,35,65,261
43,8,21,44,66
44,0,0,0,0
45,5,26,56,314
46,0,4,8,97
47,7,34,64,339
51,1,31,61,274
54,2,3,21,267
55,3,33,54,292
57,0,0,0,0
58,0,0,0,0
59,0,19,49,49
60,22,45,75,350
61,24,24,24,214
63,15,37,67,342
66,0,27,57,332
67,0,0,0,95
68,1,31,61,240
70,29,59,89,364
71,14,44,74,349
72,0,0,0,0
74,0,0,0,0
76,0,1,13,260
77,0,0,0,169
78,0,0,0,0
79,0,0,0,0
80,0,28,58,333
81,9,39,65,330
82,0,1,31,306
83,0,29,59,334
84,21,51,81,81
85,19,49,79,354
86,3,25,26,256
87,0,1,1,1
88,9,34,64,339
89,0,0,0,0
91,3,33,63,338
93,30,60,90,365
94,2,19,38,227
95,2,28,53,287
96,0,0,21,201
97,14,44,74,349
98,1,1,1,18
99,0,0,0,0
100,5,16,42,117
101,29,59,89,179
102,0,0,0,2
105,2,32,62,337
107,30,60,90,90
108,15,45,75,350
110,0,24,24,258
111,3,6,33,308
112,8,31,61,315
113,15,20,23,68
114,21,31,32,89
115,1,1,1,70
116,0,0,28,303
117,1,21,45,135
120,30,60,90,365
121,3,23,53,133
124,1,13,14,53
125,30,60,90,365
126,0,1,1,259
127,2,32,62,62
129,9,39,54,307
134,16,46,76,351
136,8,38,68,246
137,7,7,37,312
138,0,4,34,34
140,0,0,0,0
141,0,4,4,7
142,15,45,58,106
144,3,33,63,324
145,11,38,68,343
146,3,27,57,324
149,29,59,89,271
150,0,0,0,0
151,10,22,52,142
152,3,33,63,338
153,1,1,1,1
154,3,6,21,97
155,5,29,43,206
156,0,0,0,0
158,1,8,14,160
159,0,0,0,0
160,30,60,90,365
163,0,2,32,307
165,3,32,62,62
166,5,35,58,308
167,5,35,65,155
170,16,16,16,77
171,0,0,0,0
173,15,45,74,74
174,6,6,6,6
175,3,33,63,63
176,3,22,36,193
177,10,37,67,185
180,3,3,9,9
182,3,10,19,163
183,0,0,0,0
184,3,3,3,159
185,0,0,0,0
188,21,51,81,261
189,23,53,83,263
190,0,0,0,125
193,29,59,89,364
195,3,17,17,216
197,16,46,76,194
199,0,0,0,188
200,2,32,62,337
202,10,40,64,302
203,0,26,56,331
204,11,23,23,118
205,1,29,59,133
206,0,2,32,160
207,7,19,49,309
208,11,11,11,196
210,2,2,2,32
212,0,0,0,248
214,0,7,9,71
215,28,58,88,363
216,29,59,89,364
217,0,0,0,0
218,18,48,78,353
220,0,0,0,0
221,0,0,0,0
222,8,38,68,248
223,20,50,80,276
224,21,51,81,356
225,18,48,78,258
226,18,48,78,327
227,16,46,76,192
228,9,37,67,246
231,4,28,29,76
233,30,60,90,271
235,0,0,0,0
236,15,45,75,350
238,18,48,78,196
240,19,49,75,75
242,3,33,63,338
243,0,17,47,322
244,9,30,60,335
245,0,0,0,0
246,0,20,30,202
250,1,1,1,21
251,0,0,0,0
252,0,0,0,0
253,0,0,0,0
254,9,9,12,270
256,0,0,0,0
257,2,2,2,212
258,8,13,13,231
259,13,39,66,341
261,9,31,48,288
262,11,14,14,35
264,4,34,59,131
265,0,0,0,0
266,0,0,0,250
267,0,0,0,0
268,0,0,0,0
269,1,28,58,148
270,0,0,0,182
274,0,0,0,0
277,24,54,84,359
278,13,13,13,13
279,0,0,0,0
280,0,1,1,7
281,0,2,32,307
282,0,0,0,0
283,29,59,89,89
285,30,60,90,365
287,8,38,68,333
288,0,2,32,307
290,30,60,90,179
291,1,26,26,183
292,0,0,0,0
294,30,60,89,89
296,0,0,0,0
298,0,24,54,329
299,0,12,38,68
301,0,0,0,0
302,0,0,0,32
303,3,33,63,338
304,0,0,0,0
305,0,19,49,324
306,9,39,69,159
311,28,58,84,276
312,5,5,5,5
313,9,14,14,108
315,2,5,5,5
316,0,3,33,190
318,0,0,0,0
319,4,29,59,147
320,2,23,51,130
321,1,2,2,57
322,2,31,61,61
325,0,12,41,41
328,30,60,90,365
329,30,60,90,365
330,3,21,21,268
332,0,0,0,0
333,30,60,90,365
334,2,2,2,150
336,0,0,0,0
338,2,21,51,326
339,30,60,90,365
340,14,44,74,349
342,2,12,28,140
343,7,7,7,7
345,17,41,71,141
346,30,60,90,365
348,30,60,90,365
349,10,40,70,345
350,6,34,64,339
354,0,0,0,211
355,0,18,45,195
357,6,29,59,329
359,0,0,0,0
360,3,3,3,3
361,18,48,78,353
364,29,59,89,364
365,0,0,20,83
368,10,40,69,285
370,6,29,29,155
371,2,32,62,327
372,0,0,0,171
373,10,22,52,292
374,0,0,0,0
375,0,0,0,0
376,18,48,78,258
378,16,31,31,100
379,0,0,0,0
381,4,34,64,339
383,12,38,64,330
385,0,0,0,0
386,0,0,0,0
388,0,0,0,0
389,9,9,9,258
392,0,0,7,282
393,0,0,0,0
399,9,10,40,315
400,3,11,37,217
403,0,0,13,259
405,0,0,0,0
406,0,0,4,279
408,5,35,65,333
409,15,41,71,346
412,0,6,36,36
413,15,45,75,349
414,24,54,84,359
415,18,22,22,22
417,7,37,53,302
419,0,0,0,0
420,9,9,10,193
421,0,0,0,121
423,14,44,74,319
424,6,6,6,6
427,30,60,90,365
429,0,0,0,0
430,0,0,0,0
431,13,41,71,335
433,5,28,58,321
434,0,0,0,0
435,0,0,0,0
436,0,0,0,0
437,12,42,68,68
438,8,8,8,8
439,14,39,39,307
440,3,33,63,151
441,0,0,0,95
443,0,0,0,0
444,23,53,83,263
445,8,32,57,251
446,0,0,0,0
447,23,53,83,263
448,21,51,81,261
451,23,53,83,173
452,18,48,78,258
453,19,49,79,259
454,21,51,81,261
455,10,40,70,240
456,21,51,81,261
457,0,0,0,0
458,1,16,34,185
459,1,1,1,219
460,1,31,61,285
461,29,59,89,192
462,17,47,77,257
464,16,46,76,256
465,0,0,0,0
466,14,44,74,254
467,0,0,0,0
468,18,48,78,353
469,0,0,0,0
470,6,36,66,246
471,3,33,63,90
473,0,0,0,247
474,29,59,89,364
476,6,36,66,246
477,0,0,0,55
478,0,0,28,28
480,0,0,0,0
482,0,0,0,0
483,0,3,33,308
484,9,39,54,309
487,0,0,0,0
489,0,0,0,0
490,0,0,0,0
491,18,48,78,353
492,0,0,0,0
493,0,0,28,265
494,12,42,72,347
495,0,0,0,157
496,0,0,0,0
498,19,49,79,79
500,8,9,39,39
502,1,1,1,1
504,2,2,2,2
506,2,32,62,337
509,0,0,0,108
512,0,0,0,0
513,0,0,0,33
515,3,33,62,62
516,17,28,28,28
517,15,15,15,16
518,0,0,0,0
520,25,55,85,360
521,0,0,0,3
525,21,51,80,80
526,3,33,63,338
527,30,60,90,365
528,0,0,0,20
530,1,17,24,24
531,2,31,49,272
532,3,33,63,338
533,3,33,63,338
538,0,0,0,0
539,7,37,65,326
540,4,25,33,62
541,0,0,0,0
542,4,31,61,241
545,9,39,69,344
546,30,60,90,365
547,27,57,87,177
548,0,21,45,117
551,0,0,0,0
554,1,1,10,69
555,30,60,90,365
556,19,49,79,349
557,30,58,60,308
558,1,1,1,1
559,0,25,55,144
560,7,22,30,99
561,30,60,90,365
562,0,0,0,0
563,8,8,8,256
564,0,1,31,306
565,0,0,0,208
569,0,0,0,0
570,2,10,14,38
571,0,0,0,65
572,3,30,60,192
573,0,0,0,0
574,16,18,20,175
580,2,32,62,337
581,3,33,63,312
583,24,42,53,53
585,0,0,23,298
586,20,50,80,285
589,0,21,33,203
591,0,0,0,188
592,5,17,21,78
593,18,18,18,267
594,9,39,66,341
595,12,42,72,161
596,3,3,3,97
597,2,32,62,337
598,8,38,68,96
599,12,42,72,347
600,2,32,62,337
601,2,2,2,60
602,0,0,0,0
603,6,10,11,112
605,0,0,0,0
606,0,0,0,0
608,30,60,90,365
