,availability_30,availability_60,availability_90,availability_365
2,0,0,0,267
3,11,17,47,322
5,0,6,14,79
7,0,0,25,300
16,4,34,63,63
17,0,0,0,0
18,0,2,32,124
20,12,31,31,232
26,0,0,0,0
27,0,0,0,0
30,3,33,63,338
31,6,33,63,333
32,19,49,79,259
37,0,1,4,4
48,0,0,0,0
49,0,0,0,248
50,0,0,0,0
52,2,2,2,2
53,13,32,62,337
56,0,0,0,0
62,4,34,64,64
64,20,28,54,303
65,0,0,0,0
69,0,0,0,0
73,14,16,26,83
75,7,37,67,67
90,0,3,33,308
92,7,7,21,230
103,0,0,0,0
104,20,50,80,198
106,30,60,90,365
109,23,53,83,83
118,6,6,6,179
119,0,0,0,0
122,0,0,0,0
123,0,0,0,0
128,30,60,90,365
130,30,60,90,365
131,0,11,41,316
132,30,60,90,365
133,0,14,44,170
135,0,0,0,0
139,28,58,87,87
143,6,36,66,66
147,3,23,48,276
148,0,0,0,0
157,0,4,34,309
161,8,8,8,8
162,12,42,72,347
164,30,36,58,333
168,20,21,21,178
169,30,60,90,90
172,0,0,0,0
178,0,0,0,0
179,21,51,81,356
181,0,0,0,0
186,0,27,57,57
187,2,28,47,175
191,21,51,81,261
192,4,34,64,64
194,30,60,90,365
196,0,0,28,303
198,18,48,78,353
201,22,52,82,171
209,0,0,0,0
211,0,0,0,126
213,0,0,0,0
219,0,0,0,0
229,22,52,82,357
230,0,0,0,0
232,0,0,0,0
234,0,0,0,0
237,0,0,0,0
239,0,0,0,0
241,3,32,62,337
247,0,0,0,0
248,27,57,87,87
249,0,0,0,0
255,0,0,0,0
260,0,0,0,0
263,7,15,34,213
271,0,18,48,323
272,26,55,55,55
273,0,0,0,0
275,0,16,35,136
276,30,60,90,365
284,0,0,0,0
286,0,0,0,0
289,5,20,37,256
293,0,0,0,79
295,0,0,0,0
297,0,0,0,0
300,0,0,0,0
307,0,0,0,0
308,0,16,28,109
309,29,59,88,88
310,0,2,23,23
314,30,60,90,365
317,0,0,0,1
323,13,33,63,338
324,3,5,21,28
326,2,2,2,2
327,30,60,90,365
331,30,60,90,365
335,0,0,0,0
337,23,53,83,358
341,0,0,0,0
344,0,15,45,225
347,7,7,7,226
351,0,0,0,0
352,9,39,69,344
353,30,60,90,180
356,28,28,28,186
358,30,60,90,90
362,0,0,0,0
363,12,42,72,347
366,0,0,0,0
367,0,0,0,0
369,0,0,0,0
377,0,0,0,0
380,0,0,0,14
382,0,0,0,0
384,0,5,35,310
387,13,43,73,348
390,9,39,69,322
391,2,31,61,322
394,1,31,61,322
395,0,0,0,144
396,13,43,72,72
397,0,0,0,0
398,0,28,58,314
401,2,32,62,318
402,0,0,0,0
404,0,0,0,0
407,0,2,32,211
410,2,32,62,337
411,0,0,0,0
416,23,53,83,263
418,30,60,90,365
422,0,0,0,0
425,30,60,90,365
426,0,0,0,0
428,0,0,0,0
432,30,60,90,365
442,27,57,87,87
449,5,6,6,119
450,0,0,0,0
463,0,0,0,0
472,0,4,20,95
475,0,0,0,0
479,0,0,0,0
481,30,60,90,179
485,16,44,44,44
486,1,12,12,139
488,0,0,0,247
497,0,0,0,0
499,1,2,32,307
501,0,6,36,125
503,0,0,0,0
505,18,31,31,204
507,2,32,62,337
508,0,0,0,0
510,0,1,1,41
511,3,33,63,338
514,0,0,0,0
519,0,0,0,218
522,30,60,90,179
523,7,24,28,252
524,30,60,90,365
529,0,0,0,0
534,0,0,0,0
535,0,0,0,0
536,3,33,63,338
537,10,25,55,330
543,0,0,0,0
544,11,41,71,341
549,28,58,88,363
550,0,0,0,0
552,0,0,0,0
553,0,0,0,0
566,30,60,90,180
567,0,0,0,0
568,0,0,0,0
575,0,0,0,0
576,27,57,87,87
577,0,0,0,0
578,0,15,17,81
579,2,32,61,61
582,0,0,0,0
584,0,0,0,0
587,0,0,0,0
588,0,0,0,0
590,0,0,0,0
604,0,0,0,0
607,0,0,0,0
609,0,0,0,0
612,0,0,0,0
613,0,0,0,0
614,2,27,48,128
618,0,0,0,0
622,0,0,0,0
631,17,47,77,352
632,14,44,74,349
636,0,0,0,0
638,0,2,32,32
639,0,0,0,0
643,0,0,0,0
645,30,60,90,365
646,0,0,0,0
650,0,0,0,0
654,0,0,0,0
656,0,2,32,32
662,10,17,17,82
665,0,0,0,0
666,14,44,73,73
669,9,16,27,253
674,0,0,0,0
689,0,0,0,0
691,25,55,85,175
692,0,0,0,0
693,0,0,0,0
697,0,6,36,311
699,4,29,56,263
707,6,22,52,327
710,0,0,0,0
712,0,0,0,0
716,0,0,0,0
717,0,0,0,0
724,0,0,0,0
726,24,36,57,57
728,0,0,0,0
729,0,14,44,288
731,29,59,89,177
733,0,0,0,0
741,0,0,0,0
743,20,50,80,355
744,0,0,0,0
745,0,0,0,0
746,0,0,0,0
750,0,0,0,0
752,1,31,61,151
753,0,0,0,0
754,11,19,24,83
757,12,42,72,339
764,0,0,0,0
765,0,0,0,0
766,0,0,0,0
768,0,0,0,0
771,1,1,7,36
773,0,0,0,0
774,7,37,67,342
777,0,0,0,0
778,0,0,0,0
779,0,0,0,0
780,0,0,0,0
784,0,0,0,0
790,2,30,60,335
797,0,1,31,306
798,0,0,0,0
799,0,15,45,320
800,0,0,0,0
804,29,59,89,178
812,24,54,84,359
813,0,0,0,125
814,7,7,22,296
825,0,0,0,0
832,0,0,0,0
834,0,0,0,0
837,18,48,78,136
839,7,9,39,314
840,0,0,0,0
842,18,48,78,167
845,0,0,0,0
847,0,0,0,0
858,30,60,90,365
859,0,0,0,0
860,0,0,0,0
861,0,0,0,0
864,0,0,0,0
865,17,47,77,352
869,0,0,0,0
870,3,33,47,254
871,0,0,0,0
872,0,0,0,0
875,30,60,90,365
876,0,0,0,0
883,0,1,2,2
884,0,0,0,0
888,13,25,25,25
889,25,28,58,333
892,0,0,0,0
896,1,1,1,1
897,0,0,0,0
900,0,0,0,0
902,0,0,0,0
903,10,15,45,222
905,0,0,0,0
906,0,0,0,0
908,0,0,0,0
909,0,0,0,0
910,0,0,0,0
926,30,60,90,365
928,10,40,70,344
931,8,36,66,341
933,0,0,0,0
935,0,0,29,87
937,0,0,0,0
943,6,32,62,337
944,0,0,0,0
945,9,39,69,327
947,27,53,75,338
948,8,9,9,9
949,13,18,39,39
954,0,0,0,0
972,30,60,90,365
977,0,0,0,0
980,0,0,0,247
981,0,0,0,0
982,0,2,32,307
983,30,60,90,365
990,0,0,0,0
991,0,2,32,307
993,4,34,64,338
999,27,57,87,87
1003,30,60,90,365
1005,13,17,17,17
1009,14,44,74,349
1013,0,0,0,0
1017,30,60,90,179
1019,11,34,64,338
1021,0,0,0,0
