host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,host_verifications_email,host_verifications_phone,host_verifications_work_email,room_type_Entire_home/apt,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room,property_type_Entire_rental_unit,property_type_Private_room_in_rental_unit,property_type_Private_room_in_home,property_type_Entire_condo,property_type_Entire_home,bathrooms_shared,bathrooms_private,bathrooms_num,amenities_Air_conditioning,amenities_Bed_linens,amenities_Carbon_monoxide_alarm,amenities_Cooking_basics,amenities_Dedicated_workspace,amenities_Dishes_and_silverware,amenities_Essentials,amenities_Fire_extinguisher,amenities_First_aid_kit,amenities_Free_street_parking,amenities_Hair_dryer,amenities_Hangers,amenities_Heating,amenities_Hot_water,amenities_Iron,amenities_Kitchen,amenities_Long_term_stays_allowed,amenities_Microwave,amenities_Oven,amenities_Refrigerator,amenities_Self_check-in,amenities_Shampoo,amenities_Smoke_alarm,amenities_TV,amenities_Wifi,log_price
1971,1,100.0,98.0,0,2,2,1,1,40.85041,-73.93658,1,1.0,1.0,5,365,1,0,2,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1.0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,4.0943445622221
2477,12,100.0,94.0,1,2,2,1,1,40.77395,-73.92466,6,3.0,5.0,3,24,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1.0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,6.073044534100405
4324,1,90.0,43.0,0,2,6,1,1,40.70547,-73.90166,2,1.0,1.0,2,365,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,4.61512051684126
4177,1,100.0,91.0,1,2,6,1,0,40.68467,-73.93378,2,1.0,1.0,3,1125,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,5.081404364984463
3900,24,93.0,67.0,1,3,3,1,1,40.69543,-73.82596,4,2.0,2.0,30,1125,1,0,3,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.553876891600541
2079,1,90.0,64.0,1,4,4,1,1,40.71321,-73.93642,2,2.0,2.0,30,1125,1,0,4,4,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,5.19295685089021
3293,1,100.0,96.0,0,1,7,1,1,40.78727,-73.97869,2,1.0,1.0,30,1125,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1.0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,5.0106352940962555
4206,12,100.0,96.0,1,3,3,1,1,40.69223,-73.9926,3,1.0,2.0,7,28,1,0,3,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,5.752572638825633
3031,24,90.0,63.0,0,1,1,1,1,40.7183,-73.99173,1,2.0,1.0,4,56,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1.5,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,4.976733742420574
2280,24,93.0,95.0,0,5,5,1,1,40.71023,-73.96662,2,1.0,1.0,1,365,1,0,5,1,4,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,5.030437921392435
2791,1,100.0,100.0,0,1,1,1,1,40.70496,-73.92017,1,1.0,1.0,13,90,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,5.204006687076795
1103,1,100.0,74.0,1,3,4,1,1,40.66734,-73.92178,16,8.0,12.0,3,365,1,0,3,3,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,3.5,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,6.80128303447162
3089,12,100.0,91.0,1,3,6,1,1,40.73053,-74.00097,2,1.0,1.0,30,1000,1,0,3,3,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,5.480638923341991
146,1,100.0,97.0,0,4,4,1,1,40.68836,-73.91568,2,1.0,1.0,2,24,1,0,4,4,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,4.983606621708336
1789,1,100.0,80.0,1,2,3,1,1,40.75564,-73.82081,1,1.0,1.0,1,21,1,0,2,0,2,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1.0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,4.442651256490317
2487,12,100.0,67.0,0,4,7,1,1,40.67286,-73.88812,1,1.0,2.0,2,4,1,0,4,0,4,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1.0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,3.8918202981106265
1278,1,100.0,88.0,0,2,2,1,1,40.68892,-73.85599,1,1.0,1.0,1,29,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1.0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,4.465908118654584
1845,1,100.0,100.0,1,200,202,1,1,40.72311,-73.99299,2,1.0,1.0,2,28,1,0,200,197,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,5.605802066295998
4560,1,100.0,100.0,0,1,3,1,1,40.67055,-73.98391,5,3.0,3.0,2,9,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,5.8289456176102075
2887,1,100.0,92.0,0,1,1,1,1,40.68634,-73.93292,4,1.0,1.0,1,90,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,5.081404364984463
2053,1,100.0,96.0,0,2,2,1,1,40.72464,-73.99372,1,1.0,1.0,30,1125,0,0,2,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.553876891600541
1158,1,100.0,98.0,1,1,2,1,1,40.81814,-73.9512,5,1.0,3.0,2,1125,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,5.049856007249537
959,1,100.0,98.0,1,1,2,1,1,40.84065,-73.94231,5,2.0,2.0,3,365,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1.0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,5.488937726156687
4233,12,100.0,89.0,0,2,7,1,1,40.63685,-74.03614,2,1.0,2.0,30,366,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1.0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,4.31748811353631
4711,1,100.0,100.0,1,1,2,1,0,40.69058,-73.90518,2,1.0,1.0,5,88,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1.0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,4.499809670330265
342,1,90.0,97.0,1,3,3,1,1,40.69096,-73.93712,5,2.0,3.0,3,28,1,0,3,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,5.1647859739235145
3613,1,100.0,83.0,1,4,4,1,1,40.69894,-73.93823,1,1.0,1.0,24,62,1,0,3,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1.5,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,4.0943445622221
533,1,100.0,78.0,0,3,6,1,1,40.7623,-73.99923,2,1.0,1.0,2,365,1,0,3,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,6.461468176353717
1787,1,100.0,96.0,0,4,4,1,1,40.67992,-73.88301,2,1.0,2.0,2,28,1,0,3,1,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1.0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,4.59511985013459
3123,12,100.0,97.0,1,1,2,1,1,40.7261,-73.97964,8,4.0,6.0,3,1125,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3.5,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,7.2682230211595655
3393,1,100.0,99.0,0,9,9,1,1,40.74782,-73.98698,4,1.0,2.0,1,28,1,0,9,9,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,5.521460917862246
3886,1,100.0,77.0,1,1,1,1,1,40.71991,-74.00551,3,1.0,1.0,1,1125,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,5.733341276897746
2437,1,100.0,99.0,0,8,12,1,1,40.70042,-73.93065,2,1.0,1.0,1,365,1,1,8,2,6,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1.5,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,4.90527477843843
